datetime,atm_id,operation_value
2018-02-01,74,792.3465750484
2018-02-02,74,483.486149882
2018-02-03,74,365.49022976189997
2018-02-04,74,116.7603607471
2018-02-05,74,303.59458879150003
2018-02-06,74,464.45265192200003
2018-02-07,74,610.4840025775001
2018-02-08,74,493.9619282802199
2018-02-09,74,2276.9594159341
2018-02-10,74,166.09448142569997
2018-02-11,74,8814.910299704034
2018-02-12,74,595.2454369764
2018-02-13,74,1108.5615202925
2018-02-14,74,644.5501395755
2018-02-15,74,1832.3933863004
2018-02-16,74,
2018-02-17,74,103.5222246081
2018-02-18,74,285.6201417218
2018-02-19,74,508.7562808669
2018-02-20,74,809.9680051544
2018-02-21,74,687.3534464252
2018-02-22,74,1046.165771956
2018-02-23,74,335.8956409707
2018-02-24,74,278.2067854842
2018-02-25,74,0.1765084823000036
